watersupply,population,waterload,time,area
91.2,3846,333.4,2015/1/1,陕西省
119.2,2523,164.8,2015/1/1,甘肃省
26.8,577,589.3,2015/1/1,青海省
70.4,684,9.2,2015/1/1,宁夏回族自治区
577.2,2385,930.3,2015/1/1,新疆维吾尔自治区
37.5,2171,20.3,2014/1/1,北京市
24.1,1429,11.4,2014/1/1,天津市
192.8,7323,106.2,2014/1/1,河北省
71.4,3528,111,2014/1/1,山西省
182,2449,537.8,2014/1/1,内蒙古自治区
141.8,4358,145.9,2014/1/1,辽宁省
133,2642,306,2014/1/1,吉林省
364.1,3608,944.3,2014/1/1,黑龙江省
105.9,2467,47.1,2014/1/1,上海市
591.3,8281,399.3,2014/1/1,江苏省
192.9,5890,1132.1,2014/1/1,浙江省
272.1,5997,778.5,2014/1/1,安徽省
205.6,3945,1219.6,2014/1/1,福建省
259.3,4480,1631.8,2014/1/1,江西省
214.5,9808,148.4,2014/1/1,山东省
209.3,9645,283.4,2014/1/1,河南省
288.3,5816,914.3,2014/1/1,湖北省
332.4,6611,1799.4,2014/1/1,湖南省
442.5,11489,1718.4,2014/1/1,广东省
307.6,4770,1990.9,2014/1/1,广西壮族自治区
45,936,383.5,2014/1/1,海南省
80.5,3043,642.6,2014/1/1,重庆市
236.9,8139,2557.7,2014/1/1,四川省
95.3,3677,1213.1,2014/1/1,贵州省
149.4,4653,1726.6,2014/1/1,云南省
30.5,325,4416.3,2014/1/1,西藏自治区
89.8,3827,351.6,2014/1/1,陕西省
120.6,2531,198.4,2014/1/1,甘肃省
26.3,576,793.9,2014/1/1,青海省
70.3,678,10.1,2014/1/1,宁夏回族自治区
581.8,2325,726.9,2014/1/1,新疆维吾尔自治区
36.4,2125,24.8,2013/1/1,北京市
23.8,1410,14.6,2013/1/1,天津市
191.3,7288,175.9,2013/1/1,河北省
73.8,3535,126.6,2013/1/1,山西省
183.2,2455,959.8,2013/1/1,内蒙古自治区
142.1,4365,463.2,2013/1/1,辽宁省
131.5,2668,607.4,2013/1/1,吉林省
362.3,3666,1419.6,2013/1/1,黑龙江省
123.2,2448,28,2013/1/1,上海市
576.7,8192,283.5,2013/1/1,江苏省
198.3,5784,931.3,2013/1/1,浙江省
296,5988,585.6,2013/1/1,安徽省
204.8,3885,1151.9,2013/1/1,福建省
264.8,4476,1424,2013/1/1,江西省
217.9,9746,291.7,2013/1/1,山东省
240.6,9573,213.1,2013/1/1,河南省
291.8,5798,790.1,2013/1/1,湖北省
332.5,6600,1582,2013/1/1,湖南省
443.2,11270,2263.2,2013/1/1,广东省
308.2,4731,2057.3,2013/1/1,广西壮族自治区
43.2,920,502.1,2013/1/1,海南省
83.9,3011,474.3,2013/1/1,重庆市
242.5,8109,2470.3,2013/1/1,四川省
92,3632,759.4,2013/1/1,贵州省
149.7,4641,1706.7,2013/1/1,云南省
30.3,317,4415.7,2013/1/1,西藏自治区
89.2,3804,353.8,2013/1/1,陕西省
122,2537,268.9,2013/1/1,甘肃省
28.2,571,645.6,2013/1/1,青海省
72.1,666,11.4,2013/1/1,宁夏回族自治区
588,2285,956,2013/1/1,新疆维吾尔自治区
35.9,2078,39.5,2012/1/1,北京市
23.1,1378,32.9,2012/1/1,天津市
195.3,7262,235.5,2012/1/1,河北省
73.4,3548,106.2,2012/1/1,山西省
184.4,2464,510.3,2012/1/1,内蒙古自治区
142.2,4375,547.3,2012/1/1,辽宁省
129.8,2698,460.5,2012/1/1,吉林省
358.9,3724,841.4,2012/1/1,黑龙江省
116,2399,33.9,2012/1/1,上海市
552.2,8120,373.3,2012/1/1,江苏省
198.1,5685,1444.8,2012/1/1,浙江省
292.6,5978,701,2012/1/1,安徽省
200.1,3841,1511.4,2012/1/1,福建省
242.5,4475,2174.4,2012/1/1,江西省
221.8,9708,274.3,2012/1/1,山东省
238.6,9532,265.5,2012/1/1,河南省
299.3,5781,813.9,2012/1/1,湖北省
328.8,6590,1988.9,2012/1/1,湖南省
451,11041,2026.5,2012/1/1,广东省
303,4694,2087.4,2012/1/1,广西壮族自治区
45.3,910,364.3,2012/1/1,海南省
82.9,2975,476.9,2012/1/1,重庆市
245.9,8085,2892.4,2012/1/1,四川省
100.8,3587,974,2012/1/1,贵州省
151.8,4631,1689.8,2012/1/1,云南省
29.8,315,4196.4,2012/1/1,西藏自治区
88,3787,390.5,2012/1/1,陕西省
123.1,2550,267,2012/1/1,甘肃省
27.4,571,895.2,2012/1/1,青海省
69.4,659,10.8,2012/1/1,宁夏回族自治区
590.1,2253,900.6,2012/1/1,新疆维吾尔自治区
36,2024,26.8,2011/1/1,北京市
23.1,1341,15.4,2011/1/1,天津市
196,7232,157.2,2011/1/1,河北省
74.2,3562,124.3,2011/1/1,山西省
184.7,2470,419,2011/1/1,内蒙古自治区
144.5,4379,294.8,2011/1/1,辽宁省
131.2,2725,315.9,2011/1/1,吉林省
352.4,3782,629.5,2011/1/1,黑龙江省
124.5,2356,20.7,2011/1/1,上海市
556.2,8023,492.4,2011/1/1,江苏省
198.5,5570,745,2011/1/1,浙江省
294.6,5972,602.3,2011/1/1,安徽省
208.8,3784,774.9,2011/1/1,福建省
262.9,4474,1037.9,2011/1/1,江西省
224.1,9665,347.6,2011/1/1,山东省
229.1,9461,328,2011/1/1,河南省
296.7,5760,757.5,2011/1/1,湖北省
326.5,6581,1126.9,2011/1/1,湖南省
464.2,10756,1471.3,2011/1/1,广东省
301.8,4655,1350,2011/1/1,广西壮族自治区
44.5,890,484.1,2011/1/1,海南省
86.8,2944,514.6,2011/1/1,重庆市
233.5,8064,2239.5,2011/1/1,四川省
95.9,3530,626,2011/1/1,贵州省
146.8,4620,1480.2,2011/1/1,云南省
31,309,4402.7,2011/1/1,西藏自治区
87.8,3765,604.4,2011/1/1,陕西省
122.9,2552,242.2,2011/1/1,甘肃省
31.2,568,733.1,2011/1/1,青海省
