chazhi,watersupply,population,waterload,time,area
13.7,39.5,2194,29.8,2017/1/1,北京市
8.2,27.5,1410,13,2017/1/1,天津市
52.5,181.6,7409,138.3,2017/1/1,河北省
-29.5,74.9,3510,130.2,2017/1/1,山西省
-196.8,188,2433,309.9,2017/1/1,内蒙古自治区
-28.2,131.1,4312,186.3,2017/1/1,辽宁省
-186.9,126.7,2526,394.4,2017/1/1,吉林省
-673.3,353.1,3399,742.5,2017/1/1,黑龙江省
83.6,104.8,2466,34,2017/1/1,上海市
148.9,591.3,8423,392.9,2017/1/1,江苏省
-733.5,179.5,6170,895.3,2017/1/1,浙江省
-441.2,290.3,6057,784.9,2017/1/1,安徽省
-599.4,192,4065,1055.6,2017/1/1,福建省
-925.6,248,4511,1655.1,2017/1/1,江西省
-65,209.5,10033,225.6,2017/1/1,山东省
-95.1,233.8,9829,423.1,2017/1/1,河南省
-543.9,290.3,5904,1248.8,2017/1/1,湖北省
-1078.2,326.9,6633,1912.4,2017/1/1,湖南省
-1150.3,433.5,12141,1786.6,2017/1/1,广东省
-1180.9,284.9,4907,2388,2017/1/1,广西壮族自治区
-436.2,45.6,972,383.9,2017/1/1,海南省
-370.6,77.4,3144,656.1,2017/1/1,重庆市
-2108.7,268.4,8289,2467.1,2017/1/1,四川省
-809.6,103.5,3803,1051.5,2017/1/1,贵州省
-1424,156.6,4693,2202.6,2017/1/1,云南省
-3998.3,31.4,349,4749.9,2017/1/1,西藏自治区
-332.2,93,3904,449.1,2017/1/1,陕西省
-88.4,116.1,2522,238.9,2017/1/1,甘肃省
-866.3,25.8,586,785.7,2017/1/1,青海省
63.8,66.1,705,10.8,2017/1/1,宁夏回族自治区
-223.4,552.3,2480,1018.6,2017/1/1,新疆维吾尔自治区
12.1,38.8,2195,35.1,2016/1/1,北京市
13.3,27.2,1443,18.9,2016/1/1,天津市
54.8,182.6,7375,208.3,2016/1/1,河北省
-27.7,75.5,3514,134.1,2016/1/1,山西省
-206.6,190.3,2436,426.5,2016/1/1,内蒙古自治区
-463,135.4,4327,331.6,2016/1/1,辽宁省
-566.7,132.5,2567,488.8,2016/1/1,吉林省
-528.5,352.6,3463,843.7,2016/1/1,黑龙江省
89.5,104.8,2467,61,2016/1/1,上海市
168.7,577.4,8381,741.7,2016/1/1,江苏省
-1195.6,181.1,6072,1323.3,2016/1/1,浙江省
-629.7,290.7,6033,1245.2,2016/1/1,安徽省
-1450.2,189.1,4016,2109,2016/1/1,福建省
-2035.8,245.4,4496,2221.1,2016/1/1,江西省
-86.6,214,9973,220.3,2016/1/1,山东省
-310.3,227.6,9778,337.3,2016/1/1,河南省
-980.7,282,5885,1498,2016/1/1,湖北省
-1581.4,330.4,6625,2196.6,2016/1/1,湖南省
-1529.8,435,11908,2458.6,2016/1/1,广东省
-1522,290.6,4857,2178.6,2016/1/1,广西壮族自治区
-435.4,45,957,489.9,2016/1/1,海南省
-377.9,77.5,3110,604.9,2016/1/1,重庆市
-2345,267.3,8251,2340.9,2016/1/1,四川省
-855.1,100.3,3758,1066.1,2016/1/1,贵州省
-1793.9,150.2,4677,2088.9,2016/1/1,云南省
